content_partner,primary_collection,items_total,digitalnz_usage_buckets,archive_tier,recommendation,rights_evidence,existing_archive_coverage,duplication_decision
Ara Institute of Canterbury,Ara Institute of Canterbury Repository,292,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
The University of Auckland Library,Archive of Māori and Pacific Music,662,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Archives Central,Archives Central,7113,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Historical Film Footage,47,Modify | Share | Use commercially,metadata_and_item_level_payload,"Archive catalogue metadata, identifiers, and landing URLs. Copy digitised objects only after checking the item rights statement and any access restriction. Apply the same rule to the provider's other collections in the generated map.",Aggregate usage signals allow reuse for some records only; they do not establish collection-wide object rights.,HF edithatogo/digitalnz (facet metadata only); no exact Archway corpus found in the checked estate.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand Te Rua Mahara o te Kāwanatanga Flickr,4914,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archives New Zealand YouTube,592,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Victoria University of Wellington,Archives@Victoria,271,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Archives New Zealand Te Rua Mahara o te Kāwanatanga,Archway,140914,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,AtoJsOnline,6747,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
AttitudeLive,AttitudeLive YouTube,1477,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Art Gallery Toi o Tāmaki,Auckland Art Gallery Toi o Tāmaki,17251,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Art Gallery Toi o Tāmaki,Auckland Art Gallery Toi o Tāmaki YouTube,251,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Council Archives,Auckland Council Archives Document and Image Gallery,21,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Libraries,Auckland Libraries Heritage Images Collection,270234,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland Libraries,Auckland Libraries Manuscripts Collection,7936,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland Museum Collections,248155,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira Flickr,756,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Audio Foundation,Audio Foundation,168,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Audio Foundation,Audio Foundation YouTube,136,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
AudioCulture,AudioCulture,1338,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Australian National Maritime Museum,Australian National Maritime Museum Flickr,126,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
UC QuakeStudies,Becker Fraser Earthquake Photographs,12564,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Bishop Selwyn Collection of Early Māori Documents,180,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,British Parliamentary Papers,45,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of New Zealand,Canterbury Earthquake and Rebuild - Archived websites,135,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Canterbury Museum,Canterbury Museum,68842,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Auckland War Memorial Museum Tāmaki Paenga Hira,Cenotaph Database,184397,Modify | Share | Use commercially,metadata_snapshot_pending_primary_licence,"Archive descriptive metadata, identifiers, provenance URLs, and hashes now. Do not bulk-copy biographies, attached documents, or media until Auckland Museum confirms the current licence and any cultural/privacy constraints for this endpoint.","Auckland Museum API describes Cenotaph as linked open data, but this review did not locate a current first-party blanket reuse licence.",HF edithatogo/digitalnz (facet metadata only); no exact Cenotaph corpus found in the checked GitHub/HF estate.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Central Otago Memory Bank,Central Otago Memory Bank,1116,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Christchurch City Libraries,Christchurch City Libraries Flickr,36335,All rights reserved | Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Christchurch City Libraries,Christchurch City Libraries Heritage Images Collection,7756,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Christchurch uncovered,Christchurch uncovered,212,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
TBHP Collective Holiday Memories,Collective Holiday Memories,50,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
University of Waikato,Conrad Coker papers,1,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Waitaki District Council,Culture Waitaki,7586,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
data.govt.nz,data.govt.nz,27418,All rights reserved | Modify | Share | Unknown | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Lincoln University,Data@Lincoln,61,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Department of Conservation Te Papa Atawhai,Department of Conservation Te Papa Atawhai YouTube,806,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Deutsche Digitale Bibliothek,Deutsche Digitale Bibliothek,748,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
National Library of Australia,Digital Collections (Pictures),1762,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Picture Australia,Digital Collections (Pictures),1762,All rights reserved,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Digital Public Library of America,Digital Public Library of America,19922,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
DigitalNZ,DigitalNZ Blog,207,Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
DigitalNZ,DigitalNZ Stories,6429,Unknown,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
DigitalNZ,DigitalNZ Website,53,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Directory of Open Access Journals,Directory of Open Access Journals,4104,All rights reserved | Modify | Share | Use commercially,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Do not publicly copy payloads until an item-level provider licence is verified.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Down to the Wire,Down to the Wire,22,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Down to the Wire,Down to the Wire YouTube,63,Modify | Share,metadata_only_pending_item_review,"Archive descriptive metadata, identifiers, rights text, landing URLs, timestamps, and hashes. Aggregate usage is insufficient authority to copy payloads.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
Dunedin City Council Archives,Dunedin City Council Archives Flickr,1758,Modify | Share | Use commercially,metadata_plus_open_item_candidates,"Archive metadata now. The aggregate facet has open-use signals, but copy payloads only after recording the item-level rights statement and provenance; collection-level totals are not a blanket licence.",DigitalNZ aggregate usage facet only; verify current provider terms and each item rights statement.,HF edithatogo/digitalnz already preserves this DigitalNZ facet snapshot; add only derived decisions and source-specific captures here.,Do not copy the facet source again; create a new payload archive only when this row permits it and source capture is distinct.
